Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
LippeDetmold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Lübeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Lüneburg-Wolfsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Magdeburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
MittlererNiederrheinKrefeld-Mönchengladbach-Neuss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
MittleresRuhrgebiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
MünchenundOberbayern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
NeubrandenburgdasöstlicheMecklenburg-Vorpommern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
NiederbayerninPassau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
NiederrheinischeIHKDuisburg-Wesel-KleveDuisburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
NordWestfalen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Nordschwarzwald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
NürnbergMittelfranken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
OberfrankenBayreuth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
