Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Leipzig,70,62,886,71,1,14,22,314,28,400,13,186,3,43,3,43,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Limburg,11,10,909,72,1,91,3,273,3,273,3,273,1,91,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Lippe zu Detmold,25,25,1000,80,4,160,8,320,11,440,2,80,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Lübeck,47,43,915,72,4,85,16,340,13,277,10,213,2,43,2,43,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Lüneburg-Wolfsburg,64,58,906,67,1,16,9,141,27,422,21,328,6,94,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Magdeburg,38,32,842,74,0,00,15,395,17,447,3,79,2,53,1,26,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Mittlerer Niederrhein Krefeld-Mönchengladbach-Neuss,78,70,897,68,1,13,18,231,26,333,27,346,6,77,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Mittleres Ruhrgebiet,49,48,980,74,3,61,8,163,30,612,7,143,1,20,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
München und Oberbayern,314,289,920,75,11,35,107,341,131,417,53,169,10,32,2,06,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Neubrandenburg für das östliche Mecklenburg-Vorpommern,6,4,667,56,0,00,0,00,1,167,4,667,1,167,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Niederbayern in Passau,76,70,921,77,3,39,38,500,23,303,9,118,3,39,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Niederrheinische Duisburg-Wesel-Kleve zu Duisburg,62,55,887,68,0,00,13,210,26,419,16,258,5,81,2,32,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
