Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Magdeburg,18,18,1000,69,0,00,5,278,3,167,10,556,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Mittlerer Niederrhein Krefeld-Mönchengladbach-Neuss,7,7,1000,72,0,00,2,286,2,286,3,429,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Mittleres Ruhrgebiet,10,10,1000,67,0,00,1,100,4,400,5,500,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
München und Oberbayern,19,19,1000,72,2,105,4,211,6,316,7,368,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Neubrandenburg für das östliche Mecklenburg-Vorpommern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Niederbayern in Passau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Niederrheinische Duisburg-Wesel-Kleve zu Duisburg,13,13,1000,66,0,00,1,77,4,308,8,615,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Nord Westfalen,13,13,1000,72,1,77,2,154,6,462,4,308,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Nordschwarzwald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Nürnberg für Mittelfranken,23,22,957,75,1,43,5,217,12,522,5,217,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
